ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
,1.00000000,1.0000,XXX,1.0000,L
,0.87719298,1.0000,1.14L,1.1400,L
,0.66666667,1.0000,1.5L,1.5000,L
,0.57142857,1.0000,1.75 L,1.7500,L
,0.50000000,1.0000,2L,2.0000,L
,0.25000000,1.0000,4L,4.0000,L
,0.08333333,1.0000,FOOT,12.0000,INCH
,0.06250000,1.0000,16L,16.0000,L
,0.05917160,1.0000,1/2LTR,16.9000,fl oz
,0.03937008,1.0000,750ML,25.4000,fl oz
,0.03333333,1.0000,KEG 30L,30.0000,L
,0.02597403,1.0000,1140ml,38.5000,fl oz
,0.02500000,1.0000,full in,40.0000,PTN
,0.02000000,1.0000,KEG 50L,50.0000,L
,0.01706485,1.0000,KEG 59L,58.6000,L
,0.01666667,1.0000,HOUR,60.0000,MINUTE
,0.00200000,1.0000,500ML,500.0000,ml
,0.00153846,1.0000,650ML,650.0000,ml
,0.00151515,1.0000,660ML,660.0000,ml
,0.00142857,1.0000,700ML,700.0000,ml
,0.00140845,1.0000,710ml,710.0000,ml
,0.00133333,1.0000,750ML,750.0000,ml
,0.00059172,1.0000,keg50L,1690.0000,fl oz
,0.00050403,1.0000,keg59L,1984.0000,fl oz
,2.00000000,2.0000,cup,1.0000,pt
,2.00000000,2.0000,pt,1.0000,qt
,2.00000000,2.0000,Tbsp,1.0000,fl oz
,3.00000000,3.0000,tsp,1.0000,Tbsp
,4.00000000,4.0000,qt,1.0000,gal
,8.00000000,8.0000,fl oz,1.0000,cup
,16.00000000,16.0000,oz,1.0000,lb
,28.34950000,28.3495,g,1.0000,oz
,29.57350000,29.5735,ml,1.0000,fl oz
,35.21126761,100.0000,fl oz,2.8400,L
,1000.00000000,1000.0000,g,1.0000,Kg
,1000.00000000,1000.0000,mg,1.0000,g
,1000.00000000,1000.0000,ml,1.0000,L
I-1041,1.00000000,1.0000,CT,1.0000,bag
I-1120,0.02000000,1.0000,CT,50.0000,g
I-1122,0.01428571,1.0000,CT,70.0000,g
I-1131,0.00135685,1.0000,CT,737.0000,g
I-1197,0.01333333,1.0000,CT,75.0000,g
I-1716,20.00000000,20.0000,BIB 20L,1.0000,L
I-1758,0.03278689,1.0000,fl oz,30.5000,g
I-1758,0.00409836,1.0000,cup,244.0000,g
I-1759,0.03246753,1.0000,fl oz,30.8000,g
I-1759,0.00413223,1.0000,cup,242.0000,g
I-1813,0.03278689,1.0000,fl oz,30.5000,g
I-1813,0.00409836,1.0000,cup,244.0000,g
I-1814,0.03278689,1.0000,fl oz,30.5000,g
I-1814,0.00409836,1.0000,cup,244.0000,g
I-1815,0.03246753,1.0000,fl oz,30.8000,g
I-1815,0.00406504,1.0000,cup,246.0000,g
I-1820,0.03215434,1.0000,fl oz,31.1000,g
I-1820,0.00401606,1.0000,cup,249.0000,g
I-1821,0.03194888,1.0000,fl oz,31.3000,g
I-1821,0.00400000,1.0000,cup,250.0000,g
I-1827,0.00411523,1.0000,cup,243.0000,g
I-1827,0.03296703,6.0000,fl oz,182.0000,g
I-1829,2.00000000,2.0000,750ML,1.0000,bottle
I-2074,0.07042254,1.0000,Tbsp,14.2000,g
I-2074,0.00440529,1.0000,cup,227.0000,g
I-2083,0.02000000,1.0000,CT,50.0000,g
I-2115,0.06896552,1.0000,Tbsp,14.5000,g
I-2115,0.05555556,1.0000,PTN,18.0000,g
I-2115,0.00431034,1.0000,cup,232.0000,g
I-2158,0.01666667,1.0000,CT,60.0000,g
I-2159,1.00000000,1.0000,CT,1.0000,ea
I-2159,0.03030303,1.0000,CT,33.0000,g
I-2159,0.00411523,1.0000,cup,243.0000,g
I-2188,0.00833333,1.0000,cup,120.0000,g
I-2205,0.06666667,1.0000,Tbsp,15.0000,g
I-2205,0.03311258,1.0000,fl oz,30.2000,g
I-2205,0.00413223,1.0000,cup,242.0000,g
I-2207,0.03278689,1.0000,fl oz,30.5000,g
I-2207,0.00409836,1.0000,cup,244.0000,g
I-2207,0.00102459,1.0000,qt,976.0000,g
I-2208,0.00408163,1.0000,cup,245.0000,g
I-2208,0.00102041,1.0000,L,980.0000,g
I-2217,0.06666667,1.0000,Tbsp,15.0000,g
I-2220,0.03278689,1.0000,fl oz,30.5000,g
I-2220,0.00409836,1.0000,cup,244.0000,g
